"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"ALYREF","ENSG00000183684","ENST00000331204","17",0.5757,10189,"ALYREF","ALYREF-201",-1,"q25.3",1095
"AMACR","ENSG00000242110","ENST00000335606","5",0.4138,23600,"AMACR","AMACR-001",-1,"p13.2",4153
"AMBN","ENSG00000178522","ENST00000322937","4",0.3728,258,"AMBN","AMBN-001",1,"q13.3",2005
"AMBP","ENSG00000106927","ENST00000265132","9",0.4944,259,"AMBP","AMBP-001",-1,"q32",1434
"AMBRA1","ENSG00000110497","ENST00000458649","11",0.4363,55626,"AMBRA1","AMBRA1-005",-1,"p11.2",5351
"AMD1","ENSG00000123505","ENST00000368885","6",0.4153,262,"AMD1","AMD1-003",1,"q21",3438
"AMDHD1","ENSG00000139344","ENST00000266736","12",0.4387,144193,"AMDHD1","AMDHD1-001",1,"q23.1",2136
"AMDHD2","ENSG00000162066","ENST00000302956","16",0.5917,752014,"AMDHD2","AMDHD2-001",1,"p13.3",3273
"AMELX","ENSG00000125363","ENST00000380712","X",0.3837,265,"AMELX","AMELX-002",1,"p22.2",835
"AMELY","ENSG00000099721","ENST00000215479","Y",0.3727,266,"AMELY","AMELY-001",-1,"p11.2",802
"AMFR","ENSG00000159461","ENST00000290649","16",0.422,267,"AMFR","AMFR-001",-1,"q12.2",3600
"AMH","ENSG00000104899","ENST00000221496","19",0.7168,100423031,"AMH","AMH-001",1,"p13.3",1821
"AMHR2","ENSG00000135409","ENST00000552233","12",0.5275,269,"AMHR2","AMHR2-004",1,"q13.13",2162
"AMICA1","ENSG00000160593","ENST00000534294","11",0.4411,120425,"AMICA1","AMICA1-005",-1,"q23.3",5610
"AMIGO1","ENSG00000181754","ENST00000369864","1",0.5322,57463,"AMIGO1","AMIGO1-001",-1,"p13.3",5088
"AMIGO2","ENSG00000139211","ENST00000266581","12",0.4459,347902,"AMIGO2","AMIGO2-003",-1,"q13.11",3763
"AMIGO3","ENSG00000176020","ENST00000535833","3",0.6106,386724,"AMIGO3","AMIGO3-201",-1,"p21.31",6073
"AMMECR1","ENSG00000101935","ENST00000262844","X",0.3878,9949,"AMMECR1","AMMECR1-001",-1,"q23",5504
"AMMECR1L","ENSG00000144233","ENST00000272647","2",0.4569,83607,"AMMECR1L","AMMECR1L-001",-1,"q14.3",4658
"AMN","ENSG00000166126","ENST00000558590","14",0.6256,81693,"AMN","AMN-003",1,"q32.32",2772
"AMN1","ENSG00000151743","ENST00000281471","12",0.4055,196394,"AMN1","AMN1-001",-1,"p11.21",2110
"AMOT","ENSG00000126016","ENST00000371959","X",0.4197,154796,"AMOT","AMOT-201",-1,"q23",6945
"AMOTL1","ENSG00000166025","ENST00000433060","11",0.4179,154810,"AMOTL1","AMOTL1-001",1,"q21",8970
"AMOTL2","ENSG00000114019","ENST00000514516","3",0.5504,51421,"AMOTL2","AMOTL2-005",-1,"q22.2",4521
"AMPD1","ENSG00000116748","ENST00000369538","1",0.4074,270,"AMPD1","AMPD1-002",-1,"p13.2",2392
"AMPD2","ENSG00000116337","ENST00000256578","1",0.5674,271,"AMPD2","AMPD2-011",1,"p13.3",3899
"AMPD3","ENSG00000133805","ENST00000444303","11",0.4429,100130460,"AMPD3","AMPD3-201",1,"p15.4",3994
"AMPH","ENSG00000078053","ENST00000356264","7",0.3915,273,"AMPH","AMPH-001",-1,"p14.1",3418
"AMT","ENSG00000145020","ENST00000465925","3",0.545,275,"AMT","AMT-004",-1,"p21.31",3272
"AMTN","ENSG00000187689","ENST00000339336","4",0.3758,401138,"AMTN","AMTN-001",1,"q13.3",1037
"AMY1A","ENSG00000237763","ENST00000370083","1",0.3457,278,"AMY1A","AMY1A-001",1,"p21.1",1787
"AMY1B","ENSG00000174876","ENST00000330330","1",0.3459,278,"AMY1B","AMY1B-201",-1,"p21.1",1862
"AMY1C","ENSG00000187733","ENST00000370079","1",0.3404,278,"AMY1C","AMY1C-001",1,"p21.1",1632
"AMY2A","ENSG00000243480","ENST00000414303","1",0.3356,279,"AMY2A","AMY2A-001",1,"p21.1",1634
"AMY2B","ENSG00000240038","ENST00000491397","1",0.3492,648740,"AMY2B","AMY2B-003",1,"p21.1",4716
"AMZ1","ENSG00000174945","ENST00000312371","7",0.5095,155185,"AMZ1","AMZ1-001",1,"p22.3",5516
"AMZ2","ENSG00000262747","ENST00000575682","HG747_PATCH",0.4373,51321,"AMZ2","AMZ2-001",1,"q24.2",2402
"AMZ2P1","ENSG00000214174","ENST00000430983","17",0.4133,201283,"AMZ2P1","AMZ2P1-002",-1,"q24.1",3425
"ANAPC1","ENSG00000153107","ENST00000341068","2",0.3907,730268,"ANAPC1","ANAPC1-001",-1,"q13",8259
"ANAPC10","ENSG00000164162","ENST00000507656","4",0.3719,10393,"ANAPC10","ANAPC10-003",-1,"q31.21",1025
"ANAPC11","ENSG00000141552","ENST00000573956","17",0.553,51529,"ANAPC11","ANAPC11-008",1,"q25.3",2136
"ANAPC13","ENSG00000129055","ENST00000510994","3",0.4533,25847,"ANAPC13","ANAPC13-001",-1,"q22.2",1840
"ANAPC16","ENSG00000166295","ENST00000299381","10",0.434,119504,"ANAPC16","ANAPC16-001",1,"q22.1",3195
"ANAPC2","ENSG00000176248","ENST00000323927","9",0.6164,29882,"ANAPC2","ANAPC2-001",-1,"q34.3",2632
"ANAPC4","ENSG00000053900","ENST00000504256","4",0.3797,29945,"ANAPC4","ANAPC4-003",1,"p15.2",3807
"ANAPC5","ENSG00000089053","ENST00000538334","12",0.4455,51433,"ANAPC5","ANAPC5-019",-1,"q24.31",6149
"ANAPC7","ENSG00000196510","ENST00000455511","12",0.4587,51434,"ANAPC7","ANAPC7-001",-1,"q24.11",3045
"ANG","ENSG00000214274","ENST00000336811","14",0.4352,283,"ANG","ANG-001",1,"q11.2",1222
"ANGEL1","ENSG00000013523","ENST00000251089","14",0.4437,23357,"ANGEL1","ANGEL1-001",-1,"q24.3",4109
"ANGEL2","ENSG00000174606","ENST00000366962","1",0.3868,90806,"ANGEL2","ANGEL2-001",-1,"q32.3",4649
"ANGPT1","ENSG00000154188","ENST00000297450","8",0.3605,284,"ANGPT1","ANGPT1-003",-1,"q23.1",4353
"ANGPT2","ENSG00000091879","ENST00000325203","8",0.4071,285,"ANGPT2","ANGPT2-001",-1,"p23.1",5416
"ANGPT4","ENSG00000101280","ENST00000381922","20",0.5065,51378,"ANGPT4","ANGPT4-001",-1,"p13",1922
"ANGPTL1","ENSG00000116194","ENST00000234816","1",0.3373,9068,"ANGPTL1","ANGPTL1-001",-1,"q25.2",3348
"ANGPTL2","ENSG00000136859","ENST00000373425","9",0.4992,23452,"ANGPTL2","ANGPTL2-001",-1,"q33.3",3707
"ANGPTL3","ENSG00000132855","ENST00000371129","1",0.294,27329,"ANGPTL3","ANGPTL3-001",1,"p31.3",2805
"ANGPTL4","ENSG00000167772","ENST00000301455","19",0.5564,51129,"ANGPTL4","ANGPTL4-001",1,"p13.2",1879
"ANGPTL5","ENSG00000187151","ENST00000334289","11",0.3698,253935,"ANGPTL5","ANGPTL5-001",-1,"q22.1",2368
"ANGPTL6","ENSG00000130812","ENST00000253109","19",0.535,83854,"ANGPTL6","ANGPTL6-001",-1,"p13.2",1900
"ANGPTL7","ENSG00000171819","ENST00000376819","1",0.4639,10218,"ANGPTL7","ANGPTL7-001",1,"p36.22",2238
"ANK1","ENSG00000029534","ENST00000396942","8",0.4932,286,"ANK1","ANK1-203",-1,"p11.21",8366
"ANK2","ENSG00000145362","ENST00000357077","4",0.3708,287,"ANK2","ANK2-001",1,"q25",14196
"ANK3","ENSG00000151150","ENST00000280772","10",0.3775,288,"ANK3","ANK3-001",-1,"q21.2",16874
"ANKAR","ENSG00000151687","ENST00000520309","2",0.3784,150709,"ANKAR","ANKAR-001",1,"q32.2",4410
"ANKDD1A","ENSG00000166839","ENST00000380230","15",0.4669,348094,"ANKDD1A","ANKDD1A-001",1,"q22.31",3113
"ANKFN1","ENSG00000153930","ENST00000566473","17",0.3935,101927443,"ANKFN1","ANKFN1-002",1,"q22",3840
"ANKFY1","ENSG00000185722","ENST00000341657","17",0.4491,51479,"ANKFY1","ANKFY1-008",-1,"p13.2",7418
"ANKH","ENSG00000154122","ENST00000284268","5",0.4386,56172,"ANKH","ANKH-001",-1,"p15.2",8203
"ANKHD1","ENSG00000131503","ENST00000297183","5",0.3899,404734,"ANKHD1","ANKHD1-201",1,"q31.3",8319
"ANKHD1-EIF4EBP3","ENSG00000254996","ENST00000532219","5",0.3897,404734,"ANKHD1-EIF4EBP3","ANKHD1-EIF4EBP3-001",1,"q31.3",8246
"ANKIB1","ENSG00000001629","ENST00000265742","7",0.3677,54467,"ANKIB1","ANKIB1-001",1,"q21.2",6081
"ANKK1","ENSG00000170209","ENST00000303941","11",0.5093,255239,"ANKK1","ANKK1-001",1,"q23.2",2543
"ANKLE1","ENSG00000160117","ENST00000394458","19",0.5778,126549,"ANKLE1","ANKLE1-003",1,"p13.11",3218
"ANKLE2","ENSG00000176915","ENST00000539605","12",0.5104,23141,"ANKLE2","ANKLE2-002",-1,"q24.33",10890
"ANKMY1","ENSG00000144504","ENST00000480230","2",0.4938,51281,"ANKMY1","ANKMY1-015",-1,"q37.3",4640
"ANKMY2","ENSG00000106524","ENST00000447802","7",0.3801,57037,"ANKMY2","ANKMY2-002",-1,"p21.1",2599
"ANKRA2","ENSG00000164331","ENST00000296785","5",0.3728,57763,"ANKRA2","ANKRA2-001",-1,"q13.2",2063
"ANKRD1","ENSG00000148677","ENST00000371697","10",0.3989,27063,"ANKRD1","ANKRD1-001",-1,"q23.31",1979
"ANKRD10","ENSG00000088448","ENST00000375758","13",0.4,55608,"ANKRD10","ANKRD10-201",-1,"q34",2588
"ANKRD11","ENSG00000167522","ENST00000301030","16",0.5119,29123,"ANKRD11","ANKRD11-001",-1,"q24.3",9301
"ANKRD12","ENSG00000101745","ENST00000262126","18",0.3733,23253,"ANKRD12","ANKRD12-001",1,"p11.22",11288
"ANKRD13A","ENSG00000076513","ENST00000261739","12",0.44,88455,"ANKRD13A","ANKRD13A-001",1,"q24.11",4148
"ANKRD13B","ENSG00000198720","ENST00000394859","17",0.5554,124930,"ANKRD13B","ANKRD13B-001",1,"q11.2",3214
"ANKRD13C","ENSG00000118454","ENST00000370944","1",0.3755,81573,"ANKRD13C","ANKRD13C-001",-1,"p31.1",4069
"ANKRD13D","ENSG00000172932","ENST00000447274","11",0.5351,338692,"ANKRD13D","ANKRD13D-001",1,"q13.2",2881
"ANKRD16","ENSG00000134461","ENST00000380094","10",0.4686,54522,"ANKRD16","ANKRD16-003",-1,"p15.1",2738
"ANKRD17","ENSG00000132466","ENST00000358602","4",0.3617,26057,"ANKRD17","ANKRD17-001",-1,"q13.3",10784
"ANKRD18A","ENSG00000180071","ENST00000399703","9",0.4185,253650,"ANKRD18A","ANKRD18A-001",-1,"p13.1",4041
"ANKRD18B","ENSG00000230453","ENST00000290943","9",0.3639,441459,"ANKRD18B","ANKRD18B-002",1,"p13.3",3773
"ANKRD18DP","ENSG00000226435","ENST00000435620","3",0.3691,348840,"ANKRD18DP","ANKRD18DP-001",-1,"q29",2897
"ANKRD19P","ENSG00000187984","ENST00000473204","9",0.4062,138649,"ANKRD19P","ANKRD19P-004",1,"q22.31",2370
"ANKRD2","ENSG00000165887","ENST00000307518","10",0.5239,26287,"ANKRD2","ANKRD2-202",1,"q24.2",1484
"ANKRD20A1","ENSG00000196774","ENST00000377477","9",0.3607,84210,"ANKRD20A1","ANKRD20A1-001",1,"q13",3511
"ANKRD20A11P","ENSG00000215559","ENST00000451663","21",0.372,391267,"ANKRD20A11P","ANKRD20A11P-006",-1,"q11.2",3717
"ANKRD20A2","ENSG00000183148","ENST00000377601","9",0.3606,441430,"ANKRD20A2","ANKRD20A2-001",1,"p12",3511
"ANKRD20A3","ENSG00000132498","ENST00000254835","9",0.3672,441425,"ANKRD20A3","ANKRD20A3-001",-1,"p12",3964
"ANKRD20A4","ENSG00000172014","ENST00000357336","9",0.362,728747,"ANKRD20A4","ANKRD20A4-001",1,"q21.11",4137
"ANKRD20A5P","ENSG00000186481","ENST00000431648","18",0.3738,NA,"ANKRD20A5P","ANKRD20A5P-001",1,"p11.21",2472
"ANKRD20A8P","ENSG00000229089","ENST00000590226","2",0.3606,440482,"ANKRD20A8P","ANKRD20A8P-003",-1,"q11.1",5589
"ANKRD20A9P","ENSG00000206192","ENST00000457997","13",0.3696,NA,"ANKRD20A9P","ANKRD20A9P-001",-1,"q11",2978
"ANKRD22","ENSG00000152766","ENST00000371930","10",0.3805,118932,"ANKRD22","ANKRD22-001",-1,"q23.31",1596
"ANKRD23","ENSG00000163126","ENST00000318357","2",0.5156,200539,"ANKRD23","ANKRD23-001",-1,"q11.2",2597
"ANKRD24","ENSG00000089847","ENST00000600132","19",0.536,170961,"ANKRD24","ANKRD24-003",1,"p13.3",4026
"ANKRD26","ENSG00000107890","ENST00000376087","10",0.3815,22852,"ANKRD26","ANKRD26-001",-1,"p12.1",6591
"ANKRD26P1","ENSG00000261239","ENST00000571006","16",0.3776,124149,"ANKRD26P1","ANKRD26P1-007",-1,"q11.2",4741
"ANKRD26P3","ENSG00000237636","ENST00000454044","13",0.3659,NA,"ANKRD26P3","ANKRD26P3-001",-1,"q12.11",2748
"ANKRD27","ENSG00000105186","ENST00000306065","19",0.4898,84079,"ANKRD27","ANKRD27-001",-1,"q13.11",4450
"ANKRD28","ENSG00000206560","ENST00000399451","3",0.3711,23243,"ANKRD28","ANKRD28-003",-1,"p25.1",6564
"ANKRD29","ENSG00000154065","ENST00000591280","18",0.4427,147463,"ANKRD29","ANKRD29-003",-1,"q11.2",3597
"ANKRD30A","ENSG00000148513","ENST00000374660","10",0.3672,91074,"ANKRD30A","ANKRD30A-002",1,"p11.21",4762
"ANKRD30B","ENSG00000180777","ENST00000358984","18",0.3545,374860,"ANKRD30B","ANKRD30B-001",1,"p11.21",4359
"ANKRD30BL","ENSG00000163046","ENST00000481691","2",0.3962,100132154,"ANKRD30BL","ANKRD30BL-005",-1,"q21.2",3253
"ANKRD30BP2","ENSG00000224309","ENST00000447861","21",0.3672,NA,"ANKRD30BP2","ANKRD30BP2-003",1,"q11.2",3260
"ANKRD31","ENSG00000145700","ENST00000506364","5",0.3734,256006,"ANKRD31","ANKRD31-004",-1,"q13.3",6207
"ANKRD32","ENSG00000133302","ENST00000265140","5",0.3606,84250,"ANKRD32","ANKRD32-001",1,"q15",5905
"ANKRD33","ENSG00000167612","ENST00000548526","12",0.5876,341405,"ANKRD33","ANKRD33-004",1,"q13.13",3319
"ANKRD33B","ENSG00000164236","ENST00000504806","5",0.4745,651746,"ANKRD33B","ANKRD33B-002",1,"p15.2",1591
"ANKRD34A","ENSG00000181039","ENST00000323397","1",0.5591,284615,"ANKRD34A","ANKRD34A-001",1,"q21.1",3611
"ANKRD34B","ENSG00000189127","ENST00000338682","5",0.4303,340120,"ANKRD34B","ANKRD34B-001",-1,"q14.1",3938
"ANKRD34C","ENSG00000235711","ENST00000421388","15",0.4264,390616,"ANKRD34C","ANKRD34C-201",1,"q25.1",5423
"ANKRD35","ENSG00000198483","ENST00000355594","1",0.4819,148741,"ANKRD35","ANKRD35-001",1,"q21.1",3342
"ANKRD36","ENSG00000135976","ENST00000420699","2",0.3592,375248,"ANKRD36","ANKRD36-202",1,"q11.2",6269
"ANKRD36B","ENSG00000196912","ENST00000258459","2",0.3583,NA,"ANKRD36B","ANKRD36B-201",-1,"q11.2",5986
"ANKRD36BP1","ENSG00000214262","ENST00000358576","1",0.3614,84832,"ANKRD36BP1","ANKRD36BP1-002",-1,"q24.2",1779
"ANKRD36BP2","ENSG00000230006","ENST00000393525","2",0.3509,645784,"ANKRD36BP2","ANKRD36BP2-003",1,"p11.2",5395
"ANKRD37","ENSG00000186352","ENST00000511393","4",0.4533,353322,"ANKRD37","ANKRD37-002",1,"q35.1",1444
"ANKRD39","ENSG00000213337","ENST00000443120","2",0.5161,51239,"ANKRD39","ANKRD39-002",-1,"q11.2",4965
"ANKRD40","ENSG00000154945","ENST00000285243","17",0.4445,91369,"ANKRD40","ANKRD40-001",-1,"q21.33",4184
"ANKRD42","ENSG00000137494","ENST00000393389","11",0.3911,338699,"ANKRD42","ANKRD42-006",1,"q14.1",4066
"ANKRD44","ENSG00000065413","ENST00000328737","2",0.4024,91526,"ANKRD44","ANKRD44-002",-1,"q33.1",3686
"ANKRD45","ENSG00000183831","ENST00000367712","1",0.3948,339416,"ANKRD45","ANKRD45-002",-1,"q25.1",1824
"ANKRD46","ENSG00000186106","ENST00000520311","8",0.3974,157567,"ANKRD46","ANKRD46-002",-1,"q22.2",3270
"ANKRD49","ENSG00000168876","ENST00000544253","11",0.3768,54851,"ANKRD49","ANKRD49-002",1,"q21",3002
"ANKRD50","ENSG00000151458","ENST00000504087","4",0.3515,57182,"ANKRD50","ANKRD50-002",-1,"q28.1",8794
"ANKRD52","ENSG00000139645","ENST00000267116","12",0.5352,283373,"ANKRD52","ANKRD52-001",-1,"q13.3",8688
"ANKRD53","ENSG00000144031","ENST00000272421","2",0.5573,79998,"ANKRD53","ANKRD53-001",1,"p13.3",2182
"ANKRD54","ENSG00000100124","ENST00000498417","22",0.5074,129138,"ANKRD54","ANKRD54-002",-1,"q13.1",2403
"ANKRD55","ENSG00000164512","ENST00000341048","5",0.4158,79722,"ANKRD55","ANKRD55-001",-1,"q11.2",2500
"ANKRD6","ENSG00000135299","ENST00000369408","6",0.4303,22881,"ANKRD6","ANKRD6-001",1,"q15",5258
"ANKRD62P1-PARP4P3","ENSG00000189295","ENST00000338526","22",0.3776,23783,"ANKRD62P1-PARP4P3","ANKRD62P1-PARP4P3-201",-1,"q11.1",1496
"ANKRD63","ENSG00000230778","ENST00000434396","15",0.7384,100131244,"ANKRD63","ANKRD63-001",-1,"q15.1",1143
"ANKRD65","ENSG00000235098","ENST00000537107","1",0.6651,441869,"ANKRD65","ANKRD65-201",-1,"p36.33",2014
"ANKRD7","ENSG00000106013","ENST00000357099","7",0.3695,56311,"ANKRD7","ANKRD7-201",1,"q31.31",1418
"ANKRD9","ENSG00000156381","ENST00000286918","14",0.6937,122416,"ANKRD9","ANKRD9-001",-1,"q32.31",1645
"ANKS1A","ENSG00000064999","ENST00000360359","6",0.4493,23294,"ANKS1A","ANKS1A-001",1,"p21.31",6336
"ANKS1B","ENSG00000185046","ENST00000547776","12",0.3784,56899,"ANKS1B","ANKS1B-003",-1,"q23.1",3885
"ANKS3","ENSG00000168096","ENST00000591653","16",0.4979,124401,"ANKS3","ANKS3-007",-1,"p13.3",3098
"ANKS4B","ENSG00000175311","ENST00000311620","16",0.4256,257629,"ANKS4B","ANKS4B-001",1,"p12.2",2936
"ANKS6","ENSG00000165138","ENST00000353234","9",0.4695,203286,"ANKS6","ANKS6-006",-1,"q22.33",7164
"ANKUB1","ENSG00000206199","ENST00000446160","3",0.3693,389161,"ANKUB1","ANKUB1-202",-1,"q25.1",2471
"ANKZF1","ENSG00000163516","ENST00000463792","2",0.4912,55139,"ANKZF1","ANKZF1-005",1,"q35",3245
"ANLN","ENSG00000011426","ENST00000265748","7",0.3788,54443,"ANLN","ANLN-001",1,"p14.2",4787
"ANO1","ENSG00000131620","ENST00000355303","11",0.5471,55107,"ANO1","ANO1-001",1,"q13.3",4790
"ANO10","ENSG00000160746","ENST00000292246","3",0.4085,55129,"ANO10","ANO10-001",-1,"p21.33",3212
"ANO2","ENSG00000047617","ENST00000356134","12",0.444,57101,"ANO2","ANO2-001",-1,"p13.31",3717
"ANO3","ENSG00000134343","ENST00000256737","11",0.3639,63982,"ANO3","ANO3-001",1,"p14.2",6642
"ANO4","ENSG00000151572","ENST00000392979","12",0.3906,121601,"ANO4","ANO4-001",1,"q23.1",3909
"ANO5","ENSG00000171714","ENST00000324559","11",0.3449,203859,"ANO5","ANO5-001",1,"p14.3",6651
"ANO6","ENSG00000177119","ENST00000320560","12",0.3944,196527,"ANO6","ANO6-001",1,"q12",5975
"ANO7","ENSG00000146205","ENST00000274979","2",0.5813,50636,"ANO7","ANO7-001",1,"q37.3",4128
"ANO8","ENSG00000074855","ENST00000597643","19",0.6267,57719,"ANO8","ANO8-002",-1,"p13.11",4618
"ANO9","ENSG00000185101","ENST00000532094","11",0.5943,338440,"ANO9","ANO9-002",-1,"p15.5",5487
"ANP32A","ENSG00000140350","ENST00000483551","15",0.4939,8125,"ANP32A","ANP32A-002",-1,"q23",3711
"ANP32AP1","ENSG00000259516","ENST00000560832","15",0.3698,723972,"ANP32AP1","ANP32AP1-002",1,"q14",1074
"ANP32B","ENSG00000136938","ENST00000339399","9",0.4352,10541,"ANP32B","ANP32B-001",1,"q22.33",1463
"ANP32C","ENSG00000248546","ENST00000512835","4",0.4837,NA,"ANP32C","ANP32C-001",-1,"q32.3",705
"ANP32D","ENSG00000139223","ENST00000266594","12",0.4116,23519,"ANP32D","ANP32D-001",1,"q13.11",396
"ANP32E","ENSG00000143401","ENST00000314136","1",0.4257,81611,"ANP32E","ANP32E-001",-1,"q21.2",3453
"ANPEP","ENSG00000166825","ENST00000300060","15",0.5335,290,"ANPEP","ANPEP-001",-1,"q26.1",3678
"ANTXR1","ENSG00000169604","ENST00000303714","2",0.4188,84168,"ANTXR1","ANTXR1-001",1,"p13.3",5859
"ANTXR2","ENSG00000163297","ENST00000403729","4",0.3581,118429,"ANTXR2","ANTXR2-004",-1,"q21.21",8273
"ANTXRL","ENSG00000198250","ENST00000447511","10",0.5099,195977,"ANTXRL","ANTXRL-002",1,"q11.22",2284
"ANXA1","ENSG00000135046","ENST00000376911","9",0.3474,301,"ANXA1","ANXA1-003",1,"q21.13",2209
"ANXA10","ENSG00000109511","ENST00000359299","4",0.3588,11199,"ANXA10","ANXA10-001",1,"q32.3",1417
"ANXA11","ENSG00000122359","ENST00000438331","10",0.5039,311,"ANXA11","ANXA11-003",-1,"q22.3",6965
"ANXA13","ENSG00000104537","ENST00000523822","8",0.4425,312,"ANXA13","ANXA13-003",-1,"q24.13",1964
"ANXA2","ENSG00000182718","ENST00000504475","15",0.4495,302,"ANXA2","ANXA2-008",-1,"q22.2",3528
"ANXA2P1","ENSG00000213406","ENST00000505539","4",0.4579,NA,"ANXA2P1","ANXA2P1-001",-1,"q31.3",926
"ANXA2P2","ENSG00000231991","ENST00000426153","9",0.4977,304,"ANXA2P2","ANXA2P2-201",1,"p13.3",1310
"ANXA2P3","ENSG00000216740","ENST00000404883","10",0.4683,NA,"ANXA2P3","ANXA2P3-001",1,"q21.3",1008
"ANXA3","ENSG00000138772","ENST00000503776","4",0.3999,306,"ANXA3","ANXA3-004",1,"q21.21",2924
"ANXA4","ENSG00000196975","ENST00000471395","2",0.4193,307,"ANXA4","ANXA4-004",1,"p13.3",4418
"ANXA5","ENSG00000164111","ENST00000296511","4",0.3913,308,"ANXA5","ANXA5-001",-1,"q27",1762
"ANXA6","ENSG00000197043","ENST00000354546","5",0.4902,309,"ANXA6","ANXA6-001",-1,"q33.1",2593
"ANXA7","ENSG00000138279","ENST00000372921","10",0.4079,310,"ANXA7","ANXA7-001",-1,"q22.2",2452
"ANXA8","ENSG00000165390","ENST00000602817","10",0.5294,653145,"ANXA8","ANXA8-004",1,"q11.22",1971
"ANXA8L1","ENSG00000150165","ENST00000359178","10",0.5407,653145,"ANXA8L1","ANXA8L1-001",-1,"q11.22",1954
"ANXA8L2","ENSG00000186807","ENST00000374277","10",0.5402,728113,"ANXA8L2","ANXA8L2-001",1,"q11.22",1954
"ANXA9","ENSG00000143412","ENST00000368947","1",0.4992,8416,"ANXA9","ANXA9-001",1,"q21.3",1826
"AOAH","ENSG00000136250","ENST00000431169","7",0.4157,313,"AOAH","AOAH-002",-1,"p14.2",2396
"AOC2","ENSG00000131480","ENST00000253799","17",0.5249,314,"AOC2","AOC2-001",1,"q21.31",2657
"AOC3","ENSG00000131471","ENST00000308423","17",0.5435,8639,"AOC3","AOC3-001",1,"q21.31",4026
"AOX1","ENSG00000138356","ENST00000374700","2",0.4156,316,"AOX1","AOX1-001",1,"q33.1",5070
"AOX2P","ENSG00000243478","ENST00000487742","2",0.425,344454,"AOX2P","AOX2P-002",1,"q33.1",3179
"AP1AR","ENSG00000138660","ENST00000274000","4",0.3649,55435,"AP1AR","AP1AR-001",1,"q25",2902
"AP1B1","ENSG00000100280","ENST00000357586","22",0.4933,162,"AP1B1","AP1B1-202",-1,"q12.2",4176
"AP1B1P1","ENSG00000234479","ENST00000432373","22",0.4941,23782,"AP1B1P1","AP1B1P1-002",1,"q12.3",827
"AP1G1","ENSG00000166747","ENST00000299980","16",0.4073,164,"AP1G1","AP1G1-001",-1,"q22.2",6959
"AP1G2","ENSG00000213983","ENST00000308724","14",0.5518,8906,"AP1G2","AP1G2-002",-1,"q11.2",3298
"AP1M1","ENSG00000072958","ENST00000291439","19",0.5307,8907,"AP1M1","AP1M1-001",1,"p13.11",2635
"AP1M2","ENSG00000129354","ENST00000590923","19",0.5196,10053,"AP1M2","AP1M2-001",-1,"p13.2",1757
"AP1S1","ENSG00000106367","ENST00000337619","7",0.5482,1174,"AP1S1","AP1S1-001",1,"q22.1",1306
"AP1S2","ENSG00000182287","ENST00000380291","X",0.3669,8905,"AP1S2","AP1S2-003",-1,"p22.2",3492
"AP1S3","ENSG00000152056","ENST00000415298","2",0.4241,130340,"AP1S3","AP1S3-002",-1,"q36.1",2515
"AP2A1","ENSG00000196961","ENST00000354293","19",0.5457,160,"AP2A1","AP2A1-001",1,"q13.33",3388
"AP2A2","ENSG00000183020","ENST00000448903","11",0.531,101927462,"AP2A2","AP2A2-001",1,"p15.5",4575
"AP2B1","ENSG00000006125","ENST00000262325","17",0.3993,163,"AP2B1","AP2B1-001",1,"q12",6085
"AP2M1","ENSG00000161203","ENST00000382456","3",0.5413,1173,"AP2M1","AP2M1-001",1,"q27.1",2091
"AP2S1","ENSG00000042753","ENST00000263270","19",0.5287,1175,"AP2S1","AP2S1-001",-1,"q13.32",935
"AP3B1","ENSG00000132842","ENST00000255194","5",0.3653,8546,"AP3B1","AP3B1-001",-1,"q14.1",5838
"AP3B2","ENSG00000103723","ENST00000261722","15",0.4894,8120,"AP3B2","AP3B2-001",-1,"q25.2",3736
"AP3D1","ENSG00000065000","ENST00000355272","19",0.5641,8943,"AP3D1","AP3D1-001",-1,"p13.3",5034
"AP3M1","ENSG00000185009","ENST00000355264","10",0.4118,26985,"AP3M1","AP3M1-001",-1,"q22.2",3613
"AP3M2","ENSG00000070718","ENST00000518421","8",0.414,10947,"AP3M2","AP3M2-002",1,"p11.21",3669
"AP3S1","ENSG00000177879","ENST00000316788","5",0.3662,1176,"AP3S1","AP3S1-001",1,"q22.3",1730
"AP3S2","ENSG00000157823","ENST00000336418","15",0.4443,100526783,"AP3S2","AP3S2-001",-1,"q26.1",5891
"AP4B1","ENSG00000134262","ENST00000369569","1",0.4325,10717,"AP4B1","AP4B1-009",-1,"p13.2",2818
"AP4E1","ENSG00000081014","ENST00000261842","15",0.3792,23431,"AP4E1","AP4E1-001",1,"q21.2",6758
"AP4M1","ENSG00000221838","ENST00000416938","7",0.5613,9179,"AP4M1","AP4M1-017",1,"q22.1",3408
"AP4S1","ENSG00000100478","ENST00000216366","14",0.4328,11154,"AP4S1","AP4S1-001",1,"q12",2256
"AP5B1","ENSG00000254470","ENST00000532090","11",0.6281,91056,"AP5B1","AP5B1-001",-1,"q13.1",4811
"APAF1","ENSG00000120868","ENST00000357310","12",0.3948,317,"APAF1","APAF1-203",1,"q23.1",7055
"APBA1","ENSG00000107282","ENST00000265381","9",0.4144,320,"APBA1","APBA1-001",-1,"q21.12",6534
